id,doc_date,payment_date,direction,doc_type,counterparty,invoice_no,net,vat_rate,gross,vat_treatment,category,source,reverses,note
L2026-0011,2026-01-08,2026-01-17,income,invoice,Amazon EU S.à r.l.,SETTL-202601,918.12,0.00,918.12,kleinunternehmer,sales_marketplace,archive/finanzen/2026/ausgang/SETTL-202601.pdf,,
L2026-0012,2026-01-12,2026-02-11,expense,invoice,DHL Paket GmbH,DHL-2026-9710,223.59,19.00,266.07,standard,shipping,archive/finanzen/2026/eingang/DHL-2026-9710.pdf,,
L2026-0013,2026-01-12,2026-01-12,expense,invoice,Karton König e.K.,KART-2026-2846,165.74,19.00,197.23,standard,packaging,archive/finanzen/2026/eingang/KART-2026-2846.pdf,,
L2026-0014,2026-01-15,2026-01-29,income,invoice,Shopify Payments (Auszahlung),AUSZ-202601,1571.18,0.00,1571.18,kleinunternehmer,sales_shop,archive/finanzen/2026/ausgang/AUSZ-202601.pdf,,
L2026-0015,2026-01-16,2026-01-16,income,invoice,PayPal (Auszahlung),AUSZ-202601,1334.12,0.00,1334.12,kleinunternehmer,sales_shop,archive/finanzen/2026/ausgang/AUSZ-202601.pdf,,
L2026-0016,2026-01-17,2026-01-19,income,invoice,eBay GmbH,SETTL-202601,1079.48,0.00,1079.48,kleinunternehmer,sales_marketplace,archive/finanzen/2026/ausgang/SETTL-202601.pdf,,
L2026-0017,2026-01-17,2026-01-29,income,invoice,Hofladen Wiese,RE-2026-006,408.07,0.00,408.07,kleinunternehmer,sales_local,archive/finanzen/2026/ausgang/RE-2026-006.pdf,,
L2026-0018,2026-01-26,2026-02-02,expense,invoice,Hetzner Online GmbH,HETZ-2026-0194,151.77,19.00,180.61,standard,software,archive/finanzen/2026/eingang/HETZ-2026-0194.pdf,,
L2026-0019,2026-01-28,2026-02-11,expense,invoice,Holzwerk Brandt GmbH,HOLZ-2026-4479,1070.42,19.00,1273.80,standard,goods,archive/finanzen/2026/eingang/HOLZ-2026-4479.pdf,,
L2026-0020,2026-01-28,2026-02-18,expense,invoice,Leinenweberei Voss,LEIN-2026-0530,1416.39,19.00,1685.50,standard,goods,archive/finanzen/2026/eingang/LEIN-2026-0530.pdf,,
L2026-0021,2026-01-28,2026-02-11,expense,invoice,DHL Paket GmbH,DHL-2026-8789,263.72,19.00,313.83,standard,shipping,archive/finanzen/2026/eingang/DHL-2026-8789.pdf,,
L2026-0022,2026-02-02,2026-02-04,income,invoice,PayPal (Auszahlung),AUSZ-202602,1474.45,0.00,1474.45,kleinunternehmer,sales_shop,archive/finanzen/2026/ausgang/AUSZ-202602.pdf,,
L2026-0023,2026-02-03,2026-02-03,income,invoice,Amazon EU S.à r.l.,SETTL-202602,920.70,0.00,920.70,kleinunternehmer,sales_marketplace,archive/finanzen/2026/ausgang/SETTL-202602.pdf,,
L2026-0024,2026-02-03,2026-03-23,income,invoice,Buchhandlung Kessler,RE-2026-022,501.14,0.00,501.14,kleinunternehmer,sales_local,archive/finanzen/2026/ausgang/RE-2026-022.pdf,,
L2026-0025,2026-02-03,2026-02-04,expense,invoice,Nordic Glass ApS,NORD-2026-0347,1142.43,19.00,1359.49,standard,goods,archive/finanzen/2026/eingang/NORD-2026-0347.pdf,,
L2026-0026,2026-02-06,2026-02-20,expense,invoice,DHL Paket GmbH,DHL-2026-8371,232.16,19.00,276.27,standard,shipping,archive/finanzen/2026/eingang/DHL-2026-8371.pdf,,
L2026-0027,2026-02-10,2026-03-15,income,invoice,Café Morgenrot,RE-2026-021,377.74,0.00,377.74,kleinunternehmer,sales_local,archive/finanzen/2026/ausgang/RE-2026-021.pdf,,
L2026-0028,2026-02-12,2026-02-12,expense,invoice,sevDesk GmbH,SEVD-2026-2234,97.08,19.00,115.53,standard,software,archive/finanzen/2026/eingang/SEVD-2026-2234.pdf,,
L2026-0029,2026-02-13,2026-02-16,expense,invoice,Amazon EU S.à r.l.,AMAZ-2026-7769,518.95,0.00,518.95,reverse_charge,fees_marketplace,archive/finanzen/2026/eingang/AMAZ-2026-7769.pdf,,
L2026-0030,2026-02-16,2026-03-18,expense,invoice,Ratioform GmbH,RATI-2026-5382,230.09,19.00,273.81,standard,packaging,archive/finanzen/2026/eingang/RATI-2026-5382.pdf,,
L2026-0031,2026-02-17,2026-03-03,income,invoice,Shopify Payments (Auszahlung),AUSZ-202602,1642.84,0.00,1642.84,kleinunternehmer,sales_shop,archive/finanzen/2026/ausgang/AUSZ-202602.pdf,,
L2026-0032,2026-02-18,2026-02-21,expense,invoice,Nordic Glass ApS,NORD-2026-8894,1455.37,19.00,1731.89,standard,goods,archive/finanzen/2026/eingang/NORD-2026-8894.pdf,,
L2026-0033,2026-02-18,2026-02-18,expense,invoice,Deutsche Post AG,DEUT-2026-3024,274.14,19.00,326.23,standard,shipping,archive/finanzen/2026/eingang/DEUT-2026-3024.pdf,,
L2026-0034,2026-02-18,2026-02-18,expense,invoice,Deutsche Post AG,DEUT-2026-0124,51.75,0.00,51.75,exempt,postage,archive/finanzen/2026/eingang/DEUT-2026-0124.pdf,,
L2026-0035,2026-02-19,2026-03-24,income,invoice,Buchhandlung Kessler,RE-2026-023,451.61,0.00,451.61,kleinunternehmer,sales_local,archive/finanzen/2026/ausgang/RE-2026-023.pdf,,
L2026-0036,2026-02-19,2026-03-21,expense,invoice,sevDesk GmbH,SEVD-2026-4084,165.59,19.00,197.05,standard,software,archive/finanzen/2026/eingang/SEVD-2026-4084.pdf,,
L2026-0037,2026-02-28,2026-02-28,income,invoice,eBay GmbH,SETTL-202602,1329.97,0.00,1329.97,kleinunternehmer,sales_marketplace,archive/finanzen/2026/ausgang/SETTL-202602.pdf,,
L2026-0038,2026-03-01,2026-03-13,income,invoice,Praxis Dr. Lindqvist,RE-2026-038,806.74,0.00,806.74,kleinunternehmer,sales_local,archive/finanzen/2026/ausgang/RE-2026-038.pdf,,
L2026-0039,2026-03-03,2026-03-17,income,invoice,PayPal (Auszahlung),AUSZ-202603,1860.03,0.00,1860.03,kleinunternehmer,sales_shop,archive/finanzen/2026/ausgang/AUSZ-202603.pdf,,
L2026-0040,2026-03-04,2026-03-05,expense,invoice,Hetzner Online GmbH,HETZ-2026-7371,154.56,19.00,183.93,standard,software,archive/finanzen/2026/eingang/HETZ-2026-7371.pdf,,
L2026-0041,2026-03-05,2026-03-05,expense,invoice,Deutsche Post AG,DEUT-2026-2518,253.74,19.00,301.95,standard,shipping,archive/finanzen/2026/eingang/DEUT-2026-2518.pdf,,
L2026-0042,2026-03-06,2026-03-20,expense,invoice,Leinenweberei Voss,LEIN-2026-7933,1604.92,19.00,1909.85,standard,goods,archive/finanzen/2026/eingang/LEIN-2026-7933.pdf,,
L2026-0043,2026-03-08,2026-03-08,income,invoice,eBay GmbH,SETTL-202603,1362.33,0.00,1362.33,kleinunternehmer,sales_marketplace,archive/finanzen/2026/ausgang/SETTL-202603.pdf,,
L2026-0044,2026-03-09,2026-03-09,expense,invoice,Deutsche Post AG,DEUT-2026-4941,312.15,19.00,371.46,standard,shipping,archive/finanzen/2026/eingang/DEUT-2026-4941.pdf,,
L2026-0045,2026-03-12,2026-03-12,income,invoice,Amazon EU S.à r.l.,SETTL-202603,1291.40,0.00,1291.40,kleinunternehmer,sales_marketplace,archive/finanzen/2026/ausgang/SETTL-202603.pdf,,
L2026-0046,2026-03-13,2026-04-03,expense,invoice,Amazon EU S.à r.l.,AMAZ-2026-7375,652.32,0.00,652.32,reverse_charge,fees_marketplace,archive/finanzen/2026/eingang/AMAZ-2026-7375.pdf,,
L2026-0047,2026-03-15,2026-03-25,expense,invoice,Steuerkanzlei Behrens & Ude,STB-2026-03,380.00,19.00,452.20,standard,advisory,archive/finanzen/2026/eingang/STB-2026-03.pdf,,Jahresabschluss-Vorbereitung
L2026-0048,2026-03-19,2026-03-19,expense,invoice,Nordic Glass ApS,NORD-2026-7824,1574.74,19.00,1873.94,standard,goods,archive/finanzen/2026/eingang/NORD-2026-7824.pdf,,
L2026-0049,2026-03-20,2026-04-09,income,invoice,Buchhandlung Kessler,RE-2026-037,864.56,0.00,864.56,kleinunternehmer,sales_local,archive/finanzen/2026/ausgang/RE-2026-037.pdf,,
L2026-0050,2026-03-20,2026-03-27,expense,invoice,Deutsche Post AG,DEUT-2026-4956,71.05,0.00,71.05,exempt,postage,archive/finanzen/2026/eingang/DEUT-2026-4956.pdf,,
L2026-0051,2026-03-22,2026-03-31,income,invoice,PayPal (Auszahlung),AUSZ-202603,1737.67,0.00,1737.67,kleinunternehmer,sales_shop,archive/finanzen/2026/ausgang/AUSZ-202603.pdf,,
L2026-0052,2026-03-24,2026-04-23,expense,invoice,Karton König e.K.,KART-2026-4210,255.90,19.00,304.52,standard,packaging,archive/finanzen/2026/eingang/KART-2026-4210.pdf,,
L2026-0053,2026-03-28,2026-04-04,expense,invoice,Hetzner Online GmbH,HETZ-2026-7288,174.16,19.00,207.25,standard,software,archive/finanzen/2026/eingang/HETZ-2026-7288.pdf,,
L2026-0054,2026-04-01,2026-04-01,income,invoice,Shopify Payments (Auszahlung),AUSZ-202604,1942.35,0.00,1942.35,kleinunternehmer,sales_shop,archive/finanzen/2026/ausgang/AUSZ-202604.pdf,,
L2026-0055,2026-04-08,2026-05-26,income,invoice,Buchhandlung Kessler,RE-2026-053,925.28,0.00,925.28,kleinunternehmer,sales_local,archive/finanzen/2026/ausgang/RE-2026-053.pdf,,
L2026-0056,2026-04-10,2026-04-24,income,invoice,eBay GmbH,SETTL-202604,1728.45,0.00,1728.45,kleinunternehmer,sales_marketplace,archive/finanzen/2026/ausgang/SETTL-202604.pdf,,
L2026-0057,2026-04-14,2026-05-05,expense,invoice,DHL Paket GmbH,DHL-2026-7388,298.11,19.00,354.75,standard,shipping,archive/finanzen/2026/eingang/DHL-2026-7388.pdf,,
L2026-0058,2026-04-15,2026-04-16,expense,invoice,Nordic Glass ApS,NORD-2026-8434,1426.13,19.00,1697.09,standard,goods,archive/finanzen/2026/eingang/NORD-2026-8434.pdf,,
L2026-0059,2026-04-17,2026-04-20,expense,invoice,Karton König e.K.,KART-2026-5846,304.61,19.00,362.49,standard,packaging,archive/finanzen/2026/eingang/KART-2026-5846.pdf,,
L2026-0060,2026-04-17,2026-04-18,expense,invoice,Deutsche Post AG,DEUT-2026-7002,95.07,0.00,95.07,exempt,postage,archive/finanzen/2026/eingang/DEUT-2026-7002.pdf,,
L2026-0061,2026-04-18,2026-06-05,income,invoice,Buchhandlung Kessler,RE-2026-054,771.67,0.00,771.67,kleinunternehmer,sales_local,archive/finanzen/2026/ausgang/RE-2026-054.pdf,,
L2026-0062,2026-04-18,2026-05-02,expense,invoice,Holzwerk Brandt GmbH,HOLZ-2026-4419,1615.85,19.00,1922.86,standard,goods,archive/finanzen/2026/eingang/HOLZ-2026-4419.pdf,,
L2026-0063,2026-04-21,2026-04-28,expense,invoice,Amazon EU S.à r.l.,AMAZ-2026-5131,747.17,0.00,747.17,reverse_charge,fees_marketplace,archive/finanzen/2026/eingang/AMAZ-2026-5131.pdf,,
L2026-0064,2026-04-23,2026-05-07,income,invoice,eBay GmbH,SETTL-202604,1286.59,0.00,1286.59,kleinunternehmer,sales_marketplace,archive/finanzen/2026/ausgang/SETTL-202604.pdf,,
L2026-0065,2026-04-24,2026-05-08,expense,invoice,DHL Paket GmbH,DHL-2026-5020,327.59,19.00,389.83,standard,shipping,archive/finanzen/2026/eingang/DHL-2026-5020.pdf,,
L2026-0066,2026-04-26,2026-05-10,expense,invoice,sevDesk GmbH,SEVD-2026-5628,188.81,19.00,224.68,standard,software,archive/finanzen/2026/eingang/SEVD-2026-5628.pdf,,
L2026-0067,2026-04-27,2026-04-27,income,invoice,Shopify Payments (Auszahlung),AUSZ-202604,2126.44,0.00,2126.44,kleinunternehmer,sales_shop,archive/finanzen/2026/ausgang/AUSZ-202604.pdf,,
L2026-0068,2026-04-27,2026-05-04,expense,invoice,Shopify International Ltd.,SHOP-2026-8863,171.35,19.00,203.91,standard,software,archive/finanzen/2026/eingang/SHOP-2026-8863.pdf,,
L2026-0069,2026-05-01,2026-05-01,expense,invoice,Nordic Glass ApS,NORD-2026-5699,1556.93,19.00,1852.75,standard,goods,archive/finanzen/2026/eingang/NORD-2026-5699.pdf,,
L2026-0070,2026-05-02,2026-05-09,expense,invoice,Deutsche Post AG,DEUT-2026-5859,88.59,0.00,88.59,exempt,postage,archive/finanzen/2026/eingang/DEUT-2026-5859.pdf,,
L2026-0071,2026-05-03,2026-05-15,income,invoice,Café Morgenrot,RE-2026-069,497.16,0.00,497.16,kleinunternehmer,sales_local,archive/finanzen/2026/ausgang/RE-2026-069.pdf,,
L2026-0072,2026-05-04,2026-05-18,expense,invoice,Hetzner Online GmbH,HETZ-2026-2245,233.20,19.00,277.51,standard,software,archive/finanzen/2026/eingang/HETZ-2026-2245.pdf,,
L2026-0073,2026-05-06,2026-05-11,income,invoice,eBay GmbH,SETTL-202605,1436.79,0.00,1436.79,kleinunternehmer,sales_marketplace,archive/finanzen/2026/ausgang/SETTL-202605.pdf,,
L2026-0074,2026-05-06,2026-05-26,income,invoice,Buchhandlung Kessler,RE-2026-068,733.72,0.00,733.72,kleinunternehmer,sales_local,archive/finanzen/2026/ausgang/RE-2026-068.pdf,,
L2026-0075,2026-05-08,2026-05-09,expense,invoice,Hetzner Online GmbH,HETZ-2026-7739,138.05,19.00,164.28,standard,software,archive/finanzen/2026/eingang/HETZ-2026-7739.pdf,,
L2026-0076,2026-05-11,2026-05-25,expense,invoice,Amazon EU S.à r.l.,AMAZ-2026-2141,781.27,0.00,781.27,reverse_charge,fees_marketplace,archive/finanzen/2026/eingang/AMAZ-2026-2141.pdf,,
L2026-0077,2026-05-13,2026-05-22,income,invoice,PayPal (Auszahlung),AUSZ-202605,2086.51,0.00,2086.51,kleinunternehmer,sales_shop,archive/finanzen/2026/ausgang/AUSZ-202605.pdf,,
L2026-0078,2026-05-15,2026-07-02,income,invoice,Praxis Dr. Lindqvist,RE-2026-070,586.86,0.00,586.86,kleinunternehmer,sales_local,archive/finanzen/2026/ausgang/RE-2026-070.pdf,,
L2026-0079,2026-05-15,2026-06-05,expense,invoice,Deutsche Post AG,DEUT-2026-1730,452.44,19.00,538.40,standard,shipping,archive/finanzen/2026/eingang/DEUT-2026-1730.pdf,,
L2026-0080,2026-05-19,2026-05-26,income,credit_note,Café Morgenrot,GS-2026-002,84.00,0.00,84.00,kleinunternehmer,sales_local,archive/finanzen/2026/ausgang/GS-2026-002.pdf,,"Bruchware, Teilgutschrift zu RE-2026-031"
L2026-0081,2026-05-21,2026-05-21,expense,invoice,Holzwerk Brandt GmbH,HOLZ-2026-3950,2260.49,19.00,2689.98,standard,goods,archive/finanzen/2026/eingang/HOLZ-2026-3950.pdf,,
L2026-0082,2026-05-22,2026-05-29,expense,invoice,Karton König e.K.,KART-2026-1127,207.82,19.00,247.31,standard,packaging,archive/finanzen/2026/eingang/KART-2026-1127.pdf,,
L2026-0083,2026-05-24,2026-05-24,income,invoice,Amazon EU S.à r.l.,SETTL-202605,1513.96,0.00,1513.96,kleinunternehmer,sales_marketplace,archive/finanzen/2026/ausgang/SETTL-202605.pdf,,
L2026-0084,2026-05-26,2026-05-26,income,invoice,PayPal (Auszahlung),AUSZ-202605,2357.86,0.00,2357.86,kleinunternehmer,sales_shop,archive/finanzen/2026/ausgang/AUSZ-202605.pdf,,
L2026-0085,2026-05-27,2026-06-26,expense,invoice,DHL Paket GmbH,DHL-2026-9184,448.66,19.00,533.91,standard,shipping,archive/finanzen/2026/eingang/DHL-2026-9184.pdf,,
L2026-0086,2026-06-02,2026-06-07,income,invoice,Shopify Payments (Auszahlung),AUSZ-202606,2042.55,0.00,2042.55,kleinunternehmer,sales_shop,archive/finanzen/2026/ausgang/AUSZ-202606.pdf,,
L2026-0087,2026-06-03,2026-06-05,income,invoice,Shopify Payments (Auszahlung),AUSZ-202606,1805.35,0.00,1805.35,kleinunternehmer,sales_shop,archive/finanzen/2026/ausgang/AUSZ-202606.pdf,,
L2026-0088,2026-06-03,,income,invoice,Café Morgenrot,RE-2026-085,646.07,0.00,646.07,kleinunternehmer,sales_local,archive/finanzen/2026/ausgang/RE-2026-085.pdf,,
L2026-0089,2026-06-09,,income,invoice,Hofladen Wiese,RE-2026-086,609.86,0.00,609.86,kleinunternehmer,sales_local,archive/finanzen/2026/ausgang/RE-2026-086.pdf,,
L2026-0090,2026-06-10,2026-06-11,expense,invoice,Leinenweberei Voss,LEIN-2026-8681,1915.02,19.00,2278.87,standard,goods,archive/finanzen/2026/eingang/LEIN-2026-8681.pdf,,
L2026-0091,2026-06-12,2026-06-12,income,invoice,Amazon EU S.à r.l.,SETTL-202606,1402.11,0.00,1402.11,kleinunternehmer,sales_marketplace,archive/finanzen/2026/ausgang/SETTL-202606.pdf,,
L2026-0092,2026-06-12,2026-07-12,expense,invoice,eBay GmbH,EBAY-2026-4449,558.08,0.00,558.08,reverse_charge,fees_marketplace,archive/finanzen/2026/eingang/EBAY-2026-4449.pdf,,
L2026-0093,2026-06-14,2026-07-04,income,invoice,Buchhandlung Kessler,RE-2026-084,611.55,0.00,611.55,kleinunternehmer,sales_local,archive/finanzen/2026/ausgang/RE-2026-084.pdf,,
L2026-0094,2026-06-14,2026-06-17,expense,invoice,Nordic Glass ApS,NORD-2026-9201,1269.46,19.00,1510.66,standard,goods,archive/finanzen/2026/eingang/NORD-2026-9201.pdf,,
L2026-0095,2026-06-17,2026-06-24,expense,invoice,Deutsche Post AG,DEUT-2026-6873,396.20,19.00,471.48,standard,shipping,archive/finanzen/2026/eingang/DEUT-2026-6873.pdf,,
L2026-0096,2026-06-20,2026-06-29,income,invoice,eBay GmbH,SETTL-202606,1651.90,0.00,1651.90,kleinunternehmer,sales_marketplace,archive/finanzen/2026/ausgang/SETTL-202606.pdf,,
L2026-0097,2026-06-20,2026-07-04,expense,invoice,Hetzner Online GmbH,HETZ-2026-5313,206.62,19.00,245.88,standard,software,archive/finanzen/2026/eingang/HETZ-2026-5313.pdf,,
L2026-0098,2026-06-20,2026-06-27,expense,invoice,Deutsche Post AG,DEUT-2026-1844,89.90,0.00,89.90,exempt,postage,archive/finanzen/2026/eingang/DEUT-2026-1844.pdf,,
L2026-0099,2026-06-21,2026-06-21,expense,invoice,Karton König e.K.,KART-2026-6751,281.74,19.00,335.27,standard,packaging,archive/finanzen/2026/eingang/KART-2026-6751.pdf,,
L2026-0100,2026-06-28,2026-07-01,expense,invoice,DHL Paket GmbH,DHL-2026-9775,424.94,19.00,505.68,standard,shipping,archive/finanzen/2026/eingang/DHL-2026-9775.pdf,,
L2026-0101,2026-06-28,2026-07-12,expense,invoice,Shopify International Ltd.,SHOP-2026-0131,146.52,19.00,174.36,standard,software,archive/finanzen/2026/eingang/SHOP-2026-0131.pdf,,
L2026-0102,2026-07-02,2026-07-22,income,invoice,Café Morgenrot,RE-2026-100,472.59,0.00,472.59,kleinunternehmer,sales_local,archive/finanzen/2026/ausgang/RE-2026-100.pdf,,
L2026-0103,2026-07-02,2026-07-02,expense,invoice,Nordic Glass ApS,NORD-2026-2992,1149.31,19.00,1367.68,standard,goods,archive/finanzen/2026/eingang/NORD-2026-2992.pdf,,
L2026-0104,2026-07-03,2026-07-03,expense,invoice,Amazon EU S.à r.l.,AMAZ-2026-9754,574.09,0.00,574.09,reverse_charge,fees_marketplace,archive/finanzen/2026/eingang/AMAZ-2026-9754.pdf,,
L2026-0105,2026-07-12,2026-07-17,income,invoice,eBay GmbH,SETTL-202607,1035.49,0.00,1035.49,kleinunternehmer,sales_marketplace,archive/finanzen/2026/ausgang/SETTL-202607.pdf,,
L2026-0106,2026-07-12,2026-08-11,expense,invoice,Leinenweberei Voss,LEIN-2026-8942,1018.28,19.00,1211.75,standard,goods,archive/finanzen/2026/eingang/LEIN-2026-8942.pdf,,
L2026-0107,2026-07-13,2026-07-20,income,invoice,Praxis Dr. Lindqvist,RE-2026-102,476.19,0.00,476.19,kleinunternehmer,sales_local,archive/finanzen/2026/ausgang/RE-2026-102.pdf,,
L2026-0108,2026-07-18,2026-08-07,income,invoice,Café Morgenrot,RE-2026-101,497.46,0.00,497.46,kleinunternehmer,sales_local,archive/finanzen/2026/ausgang/RE-2026-101.pdf,,
L2026-0109,2026-07-19,2026-07-24,income,invoice,PayPal (Auszahlung),AUSZ-202607,1707.99,0.00,1707.99,kleinunternehmer,sales_shop,archive/finanzen/2026/ausgang/AUSZ-202607.pdf,,
L2026-0110,2026-07-22,2026-08-05,expense,invoice,DHL Paket GmbH,DHL-2026-4836,321.75,19.00,382.88,standard,shipping,archive/finanzen/2026/eingang/DHL-2026-4836.pdf,,
L2026-0111,2026-07-24,2026-07-31,expense,invoice,Shopify International Ltd.,SHOP-2026-2343,179.86,19.00,214.03,standard,software,archive/finanzen/2026/eingang/SHOP-2026-2343.pdf,,
L2026-0112,2026-07-26,2026-07-31,income,invoice,Amazon EU S.à r.l.,SETTL-202607,1435.35,0.00,1435.35,kleinunternehmer,sales_marketplace,archive/finanzen/2026/ausgang/SETTL-202607.pdf,,
L2026-0113,2026-07-27,2026-08-10,expense,invoice,sevDesk GmbH,SEVD-2026-0492,141.65,19.00,168.56,standard,software,archive/finanzen/2026/eingang/SEVD-2026-0492.pdf,,
L2026-0114,2026-07-27,2026-08-26,expense,invoice,Deutsche Post AG,DEUT-2026-3215,75.93,0.00,75.93,exempt,postage,archive/finanzen/2026/eingang/DEUT-2026-3215.pdf,,
L2026-0115,2026-07-28,2026-08-02,income,invoice,PayPal (Auszahlung),AUSZ-202607,1966.62,0.00,1966.62,kleinunternehmer,sales_shop,archive/finanzen/2026/ausgang/AUSZ-202607.pdf,,
L2026-0116,2026-07-28,2026-08-04,expense,invoice,DHL Paket GmbH,DHL-2026-2009,256.48,19.00,305.21,standard,shipping,archive/finanzen/2026/eingang/DHL-2026-2009.pdf,,
L2026-0117,2026-07-28,2026-07-31,expense,invoice,Karton König e.K.,KART-2026-6178,254.19,19.00,302.49,standard,packaging,archive/finanzen/2026/eingang/KART-2026-6178.pdf,,
L2026-0118,2026-08-03,2026-08-08,income,invoice,eBay GmbH,SETTL-202608,1570.54,0.00,1570.54,kleinunternehmer,sales_marketplace,archive/finanzen/2026/ausgang/SETTL-202608.pdf,,
L2026-0119,2026-08-03,2026-08-06,expense,invoice,DHL Paket GmbH,DHL-2026-3285,388.93,19.00,462.83,standard,shipping,archive/finanzen/2026/eingang/DHL-2026-3285.pdf,,
L2026-0120,2026-08-03,2026-08-06,expense,invoice,Amazon EU S.à r.l.,AMAZ-2026-9004,522.83,0.00,522.83,reverse_charge,fees_marketplace,archive/finanzen/2026/eingang/AMAZ-2026-9004.pdf,,
L2026-0121,2026-08-04,2026-08-05,expense,invoice,Holzwerk Brandt GmbH,HOLZ-2026-6426,1127.97,19.00,1342.28,standard,goods,archive/finanzen/2026/eingang/HOLZ-2026-6426.pdf,,
L2026-0122,2026-08-08,2026-08-15,expense,invoice,sevDesk GmbH,SEVD-2026-5797,122.91,19.00,146.26,standard,software,archive/finanzen/2026/eingang/SEVD-2026-5797.pdf,,
L2026-0123,2026-08-09,2026-08-30,expense,invoice,Ratioform GmbH,RATI-2026-6495,202.36,19.00,240.81,standard,packaging,archive/finanzen/2026/eingang/RATI-2026-6495.pdf,,
L2026-0124,2026-08-13,2026-08-13,expense,invoice,DHL Paket GmbH,DHL-2026-6113,277.42,19.00,330.13,standard,shipping,archive/finanzen/2026/eingang/DHL-2026-6113.pdf,,
L2026-0125,2026-08-14,2026-08-16,income,invoice,Shopify Payments (Auszahlung),AUSZ-202608,2179.07,0.00,2179.07,kleinunternehmer,sales_shop,archive/finanzen/2026/ausgang/AUSZ-202608.pdf,,
L2026-0126,2026-08-15,2026-08-29,income,invoice,Amazon EU S.à r.l.,SETTL-202608,1631.53,0.00,1631.53,kleinunternehmer,sales_marketplace,archive/finanzen/2026/ausgang/SETTL-202608.pdf,,
L2026-0127,2026-08-18,2026-08-18,income,invoice,PayPal (Auszahlung),AUSZ-202608,1685.89,0.00,1685.89,kleinunternehmer,sales_shop,archive/finanzen/2026/ausgang/AUSZ-202608.pdf,,
L2026-0128,2026-08-21,2026-08-28,expense,invoice,Deutsche Post AG,DEUT-2026-3230,70.29,0.00,70.29,exempt,postage,archive/finanzen/2026/eingang/DEUT-2026-3230.pdf,,
L2026-0129,2026-08-24,,income,invoice,Buchhandlung Kessler,RE-2026-117,724.24,0.00,724.24,kleinunternehmer,sales_local,archive/finanzen/2026/ausgang/RE-2026-117.pdf,,
L2026-0130,2026-08-25,,income,invoice,Buchhandlung Kessler,RE-2026-116,755.88,0.00,755.88,kleinunternehmer,sales_local,archive/finanzen/2026/ausgang/RE-2026-116.pdf,,
L2026-0131,2026-08-25,,expense,invoice,Leinenweberei Voss,LEIN-2026-4935,1401.40,19.00,1667.67,standard,goods,archive/finanzen/2026/eingang/LEIN-2026-4935.pdf,,
L2026-0132,2026-08-28,2026-08-29,expense,invoice,Shopify International Ltd.,SHOP-2026-2552,193.63,19.00,230.42,standard,software,archive/finanzen/2026/eingang/SHOP-2026-2552.pdf,,
L2026-0133,2026-07-02,2026-07-02,expense,reversal,Karton König e.K.,,165.74,19.00,197.23,standard,packaging,archive/finanzen/2026/eingang/storno-L2026-0013.txt,L2026-0013,Doppelt gebucht
